Team1,Result,Team2,"Penalty shoot out"
South Africa,1-1,Mexico,
Uruguay,0-0,France,
South Korea,2-0,Greece,
Argentina,1-0,Nigeria,
England,1-1,United States,
Algeria,0-1,Slovenia,
Serbia,0-1,Ghana,
Germany,4-0,Australia,
Netherlands,2-0,Denmark,
Japan,1-0,Cameroon,
Italy,1-1,Paraguay,
New Zealand,1-1,Slovakia,
Ivory Coast,0-0,Portugal,
Brazil,2-1,North Korea,
Honduras,0-1,Chile,
Spain,0-1,Switzerland,
South Africa,0-3,Uruguay,
Argentina,4-1,South Korea,
Greece,2-1,Nigeria,
France,0-2,Mexico,
Germany,0-1,Serbia,
Slovenia,2-2,United States,
England,0-0,Algeria,
Netherlands,1-0,Japan,
Ghana,1-1,Australia,
Cameroon,1-2,Denmark,
Slovakia,0-2,Paraguay,
Italy,1-1,New Zealand,
Brazil,3-1,Ivory Coast,
Portugal,7-0,North Korea,
Chile,1-0,Switzerland,
Spain,2-0,Honduras,
Mexico,0-1,Uruguay,
France,1-2,South Africa,
Nigeria,2-2,South Korea,
Greece,0-2,Argentina,
Slovenia,0-1,England,
United States,1-0,Algeria,
Ghana,0-1,Germany,
Australia,2-1,Serbia,
Slovakia,3-2,Italy,
Paraguay,0-0,New Zealand,
Denmark,1-3,Japan,
Cameroon,1-2,Netherlands,
Portugal,0-0,Brazil,
North Korea,0-3,Ivory Coast,
Chile,1-2,Spain,
Switzerland,0-0,Honduras,
Uruguay,2-1,South Korea,
United States,1-2,Ghana,
Germany,4-1,England,
Argentina,3-1,Mexico,
Netherlands,2-1,Slovakia,
Brazil,3-0,Chile,
Paraguay,0-0 (a.e.t.),Japan,5-3
Spain,1-0,Portugal,
Netherlands,2-1,Brazil,
Uruguay,1-1 (a.e.t.),Ghana,4-2
Argentina,0-4,Germany,
Paraguay,0-1,Spain,
Uruguay,2-3,Netherlands,
Germany,0-1,Spain,
Uruguay,2-3,Germany,
Netherlands,0-1,Spain,
