Rank,Team,TotalPoints
1,Spain,1485
2,Germany,1300
3,Brazil,1242
4,Portugal,1189
5,Argentina,1175
6,Switzerland,1149
7,Uruguay,1147
8,Colombia,1137
9,Italy,1104
10,England,1090
11,Belgium,1074
12,Greece,1064
13,United States,1035
14,Chile,1026
15,Netherlands,981
16,Ukraine,915
17,France,913
18,Croatia,903
19,Russia,893
20,Mexico,882
21,Bosnia and Herzegovina,873
22,Algeria,858
23,Denmark,809
23,Ivory Coast,809
25,Slovenia,800
26,Ecuador,791
27,Scotland,786
28,Costa Rica,762
29,Romania,761
30,Serbia,745
31,Panama,743
32,Sweden,741
33,Honduras,731
34,Czech Republic,724
35,Turkey,722
36,Egypt,715
37,Ghana,704
38,Armenia,682
39,Cape Verde Islands,674
40,Venezuela,672
41,Wales,644
42,Austria,643
43,Iran,641
44,Nigeria,640
45,Peru,627
46,Japan,626
47,Hungary,624
48,Tunisia,612
49,Slovakia,591
50,Paraguay,575
51,Montenegro,574
52,Iceland,566
52,Guinea,566
54,Sierra Leone,565
55,Norway,562
56,Cameroon,558
57,Mali,547
57,South Korea,547
59,Uzbekistan,539
60,Burkina Faso,538
61,Finland,532
62,Australia,526
63,Jordan,510
64,Libya,498
65,South Africa,496
66,Albania,495
67,Bolivia,483
68,El Salvador,481
69,Poland,474
70,Republic of Ireland,473
71,Trinidad and Tobago,470
72,United Arab Emirates,460
73,Haiti,452
74,Senegal,451
75,Israel,444
76,Zambia,441
77,Morocco,439
78,Bulgaria,425
79,Oman,420
80,FYR Macedonia,419
81,Jamaica,411
82,Belarus,397
83,Azerbaijan,396
84,Congo DR,395
85,Congo,393
86,Uganda,390
87,Benin,386
88,Togo,383
89,Gabon,382
90,Northern Ireland,381
90,Saudi Arabia,381
92,Botswana,375
93,Angola,364
94,Palestine,358
95,Cuba,354
96,Georgia,349
97,New Zealand,347
98,Estonia,343
99,Zimbabwe,340
100,Qatar,339
