Team1,Result,Team2,"Penalty shoot out"
Brazil,3-1,Croatia
Mexico,1-0,Cameroon
Spain,1-5,Netherlands
Chile,3-1,Australia
Colombia,3-0,Greece
Ivory Coast,2-1,Japan
Uruguay,1-3,Costa Rica
England,1-2,Italy
Switzerland,2-1,Ecuador
France,3-0,Honduras
Argentina,2-1,Bosnia and Herzegovina
Iran,0-0,Nigeria
Germany,4-0,Portugal
Ghana,1-2,United States
Belgium,2-1,Algeria
Russia,1-1,South Korea
Brazil,0-0,Mexico
Cameroon,0-4,Croatia
Spain,0-2,Chile
Australia,2-3,Netherlands
Colombia,2-1,Ivory Coast
Japan,0-0,Greece
Uruguay,2-1,England
Italy,0-1,Costa Rica
Switzerland,2-5,France
Honduras,1-2,Ecuador
Argentina,1-0,Iran
Nigeria,1-0,Bosnia and Herzegovina
Germany,2-2,Ghana
United States,2-2,Portugal
Belgium,1-0,Russia
South Korea,2-4,Algeria
Cameroon,1-4,Brazil
Croatia,1-3,Mexico
Australia,0-3,Spain
Netherlands,2-0,Chile
Japan,1-4,Colombia
Greece,2-1,Ivory Coast
Italy,0-1,Uruguay
Costa Rica,0-0,England
Honduras,0-3,Switzerland
Ecuador,0-0,France
Nigeria,2-3,Argentina
Bosnia and Herzegovina,3-1,Iran
United States,0-1,Germany
Portugal,2-1,Ghana
South Korea,0-1,Belgium
Algeria,1-1,Russia
Brazil,1-1 (a.e.t.),Chile,3-2,
Colombia,2-0,Uruguay
Netherlands,2-1,Mexico
Costa Rica,1-1 (a.e.t.),Greece,5-3,
France,2-0,Nigeria
Germany,2-1,Algeria
Argentina,1-0,Switzerland
Belgium,2-1,United States
Brazil,2-1,Colombia
France,0-1,Germany
Netherlands,0-0 (a.e.t.),Costa Rica,4-3,
Argentina,1-0,Belgium
Brazil,1-7,Germany
Netherlands,0-0 (a.e.t.),Argentina,2-4,
Brazil,0-3,Netherlands
